Date,"Total employed, all industries 7",Goods-producing sector 8,Agriculture 9,"Forestry, fishing, mining, quarrying, oil and gas 10 11",Utilities,Construction,Manufacturing,Services-producing sector 12,Wholesale and retail trade,Transportation and warehousing,"Finance, insurance, real estate, rental and leasing","Professional, scientific and technical services","Business, building and other support services 13",Educational services,Health care and social assistance,"Information, culture and recreation",Accommodation and food services,Other services (except public administration),Public administration
Sep-21,"19,251.10","3,954.20",249.8,331.9,145.5,"1,469.00","1,758.10","15,296.90","2,916.30",988.4,"1,339.80","1,719.50",688.5,"1,472.90","2,541.50",749.7,"1,044.00",708.2,"1,128.00"
Oct-21,"19,288.10","3,951.10",246.6,327.1,144.9,"1,465.60","1,766.90","15,337.00","2,973.10","1,002.50","1,344.00","1,715.30",666.9,"1,465.20","2,553.70",766.8,"1,025.40",717.2,"1,107.10"
Nov-21,"19,437.30","3,967.30",249,322.7,137.3,"1,469.40","1,788.80","15,470.00","2,995.30","1,013.90","1,336.50","1,750.00",689.4,"1,461.90","2,579.30",783.5,"1,031.30",712.4,"1,116.60"
Dec-21,"19,508.80","3,987.10",242.1,329.2,142.4,"1,479.60","1,793.90","15,521.70","3,015.50","1,013.90","1,345.90","1,745.80",694.9,"1,481.10","2,588.40",782.7,"1,030.00",707.3,"1,116.20"
Jan-22,"19,305.40","4,017.70",256.9,330,146,"1,496.20","1,788.50","15,287.60","2,975.70","1,015.10","1,351.20","1,735.40",681.5,"1,468.40","2,595.40",738.4,908.7,706.6,"1,111.20"
Feb-22,"19,629.00","4,059.90",259.1,331,145.3,"1,527.60","1,796.80","15,569.20","3,008.90","1,017.50","1,351.20","1,780.10",689.3,"1,478.60","2,613.50",813.9,"1,019.40",699.6,"1,097.30"
Mar-22,"19,647.80","4,072.00",256.8,337.3,143,"1,536.90","1,798.10","15,575.80","3,029.60",988.7,"1,336.30","1,780.70",682.3,"1,479.20","2,612.00",809.7,"1,035.00",707.9,"1,114.40"
Apr-22,"19,709.70","4,083.20",258.9,335.5,149.4,"1,538.10","1,801.20","15,626.50","3,027.90",987.4,"1,343.00","1,802.90",673.9,"1,487.00","2,606.90",818.4,"1,039.20",711.3,"1,128.60"
May-22,"19,763.40","4,072.90",259.2,335,149.8,"1,549.40","1,779.40","15,690.40","3,042.40",981.7,"1,344.10","1,813.00",689.2,"1,498.60","2,616.80",833,"1,036.30",706.5,"1,128.90"
Jun-22,"19,750.80","4,087.30",261.6,324.7,149.5,"1,561.60","1,789.90","15,663.50","3,000.50",986.3,"1,344.50","1,835.20",702.1,"1,500.70","2,604.20",815.8,"1,042.60",696.3,"1,135.30"
Jul-22,"19,787.50","4,102.50",259.1,326.3,150.4,"1,566.10","1,800.60","15,685.00","3,001.20","1,005.40","1,354.60","1,835.20",701.6,"1,488.30","2,595.70",817,"1,043.10",698.6,"1,144.20"
Aug-22,"19,781.20","4,111.80",266.5,326.8,154.6,"1,559.80","1,804.10","15,669.50","2,988.20",993.4,"1,362.10","1,833.80",692.3,"1,453.90","2,609.20",808.6,"1,058.20",707.2,"1,162.60"
Sep-22,"19,796.10","4,100.30",264.7,324.6,157.9,"1,559.90","1,793.10","15,695.80","2,977.30",977.4,"1,370.20","1,837.60",693.5,"1,471.90","2,633.70",806.7,"1,059.80",714.1,"1,153.60"
Oct-22,"19,882.80","4,137.80",265.8,323.3,159.2,"1,579.00","1,810.60","15,745.00","2,954.60",972,"1,378.80","1,856.00",691.2,"1,474.60","2,644.50",801.9,"1,081.80",717.9,"1,171.50"
Nov-22,"19,923.80","4,123.10",262.2,327.6,155.6,"1,571.80","1,806.00","15,800.70","2,948.50",977.1,"1,391.90","1,852.10",691,"1,485.40","2,653.20",808.9,"1,085.60",730.8,"1,176.20"
Dec-22,"19,998.50","4,155.30",271.5,323.8,148.7,"1,598.20","1,812.90","15,843.20","2,925.20",999,"1,395.70","1,862.10",706.9,"1,485.00","2,625.90",829.1,"1,094.60",735.1,"1,184.50"
Jan-23,"20,113.50","4,179.50",266.9,326.2,153.7,"1,613.00","1,819.70","15,933.90","2,964.10",980.6,"1,390.10","1,870.30",696.4,"1,487.70","2,664.40",836.3,"1,117.90",751.2,"1,175.00"
Feb-23,"20,153.30","4,196.70",265.9,331.9,160.3,"1,604.20","1,834.40","15,956.70","2,976.00",982.2,"1,381.50","1,862.20",693.3,"1,490.00","2,680.00",831.4,"1,123.00",755.5,"1,181.50"
Mar-23,"20,214.10","4,170.20",265.1,322.7,159.7,"1,597.30","1,825.40","16,043.90","2,980.50","1,015.80","1,396.60","1,877.20",718.8,"1,491.60","2,666.40",840.2,"1,122.90",750.8,"1,183.20"
Apr-23,"20,257.80","4,178.00",263.9,322.2,158.9,"1,607.70","1,825.30","16,079.80","3,003.80","1,031.90","1,390.00","1,866.70",707.3,"1,507.60","2,668.40",849.7,"1,121.90",749.5,"1,183.00"
May-23,"20,246.70","4,215.00",264.2,324.3,163.6,"1,614.30","1,848.60","16,031.70","2,973.90","1,027.70","1,383.40","1,865.90",681.5,"1,513.90","2,661.80",853,"1,130.80",753.7,"1,186.00"
Jun-23,"20,332.90","4,214.50",255,328.6,160.8,"1,613.20","1,856.80","16,118.40","3,014.50","1,040.60","1,392.50","1,871.60",677.2,"1,499.70","2,686.70",863.4,"1,127.30",751.7,"1,193.10"
Jul-23,"20,352.10","4,182.40",263.9,327.6,160.3,"1,565.50","1,865.20","16,169.70","3,010.70","1,027.80","1,414.40","1,871.10",684,"1,520.20","2,713.20",849.5,"1,136.60",762.1,"1,180.10"
Aug-23,"20,412.10","4,188.00",254.6,333.6,159.5,"1,595.90","1,844.50","16,224.10","3,022.80","1,040.40","1,395.50","1,915.90",693.4,"1,500.30","2,712.60",849,"1,137.20",780.9,"1,176.20"
Sep-23,"20,465.30","4,186.80",254.6,336.5,157,"1,584.90","1,853.90","16,278.50","3,008.90","1,061.00","1,379.50","1,922.90",701.1,"1,542.30","2,718.70",826.6,"1,142.70",784.2,"1,190.50"
Oct-23,"20,493.90","4,191.60",259,340.4,156.3,"1,602.80","1,833.00","16,302.40","2,994.90","1,069.10","1,373.00","1,926.40",692.4,"1,545.70","2,731.30",846.4,"1,138.60",787.7,"1,196.90"
Nov-23,"20,518.50","4,225.10",251.6,340.4,158,"1,614.00","1,861.00","16,293.40","2,969.70","1,081.40","1,357.20","1,930.60",701.2,"1,542.40","2,737.70",848.2,"1,134.10",794.3,"1,196.60"
Dec-23,"20,532.80","4,203.00",238.7,345.4,161.8,"1,605.80","1,851.30","16,329.90","2,954.60","1,074.80","1,370.30","1,960.40",683.5,"1,544.80","2,753.50",849.3,"1,132.30",804.1,"1,202.10"
Jan-24,"20,577.10","4,178.70",233.9,344.2,158.3,"1,593.10","1,849.10","16,398.40","2,975.50","1,089.70","1,403.30","1,953.50",696.8,"1,569.90","2,745.30",839.4,"1,108.40",798.8,"1,217.90"
Feb-24,"20,607.70","4,178.90",230,347.5,156.7,"1,605.90","1,838.80","16,428.80","2,969.80","1,097.70","1,399.00","1,963.80",686.8,"1,553.50","2,747.30",843.4,"1,131.10",810.4,"1,226.10"
Mar-24,"20,614.50","4,206.60",228.2,349.4,158.5,"1,621.90","1,848.50","16,408.00","2,947.60","1,096.00","1,410.50","1,946.70",690.6,"1,558.80","2,784.10",836.4,"1,106.40",805.2,"1,225.60"
Apr-24,"20,700.50","4,200.20",221.9,355.8,153.4,"1,614.90","1,854.10","16,500.30","2,950.50","1,101.20","1,408.70","1,967.20",697.3,"1,556.70","2,801.10",845.6,"1,132.50",814.1,"1,225.40"
May-24,"20,698.30","4,173.00",225.6,356,150.4,"1,587.30","1,853.60","16,525.30","2,940.70","1,085.40","1,431.10","1,968.50",714.4,"1,544.30","2,819.40",835.7,"1,144.20",814,"1,227.70"
Jun-24,"20,715.90","4,188.50",236.2,359.2,148.2,"1,585.20","1,859.80","16,527.40","2,934.60","1,076.70","1,434.40","1,960.80",710,"1,558.10","2,819.80",831.9,"1,159.70",820.3,"1,221.10"
Jul-24,"20,712.90","4,198.00",238.7,364.1,152.8,"1,594.20","1,848.30","16,514.80","2,890.60","1,088.10","1,428.90","1,982.00",705.5,"1,555.70","2,826.60",838.8,"1,145.80",815,"1,238.00"
Aug-24,"20,742.60","4,204.80",238.4,360.4,147.4,"1,601.10","1,857.50","16,537.70","2,920.70","1,085.50","1,436.70","1,965.30",698.4,"1,582.10","2,848.00",839.2,"1,135.90",794.6,"1,231.30"
Sep-24,"20,779.30","4,198.40",233.3,355.5,149.9,"1,609.20","1,850.50","16,580.90","2,932.70","1,087.30","1,434.90","1,987.10",699.6,"1,568.10","2,845.60",860.2,"1,137.60",793.6,"1,234.20"
Oct-24,"20,782.60","4,201.50",229.7,355.3,150.4,"1,613.40","1,852.70","16,581.10","2,926.40","1,076.90","1,422.50","1,994.80",724.6,"1,573.70","2,847.90",855.2,"1,141.30",789.5,"1,228.10"
Nov-24,"20,826.40","4,179.70",227.7,350.2,149.1,"1,624.90","1,827.80","16,646.70","2,956.20","1,061.50","1,428.60","2,015.30",720.8,"1,587.00","2,857.10",854,"1,156.20",781,"1,229.00"
Dec-24,"20,917.40","4,208.10",229.7,342.7,159.1,"1,631.90","1,844.70","16,709.30","2,944.90","1,078.70","1,448.90","1,997.30",733.8,"1,604.80","2,872.30",855.1,"1,161.00",784.9,"1,227.40"
